National Park,Description,Founded,AllTrails URL
Everglades,"Subtropical wilderness with mangroves and marshes. Great for airboat tours, wildlife viewing, and backcountry camping.",1934,https://www.alltrails.com/parks/us/florida/everglades-national-park
Gates of the Arctic,"Remote park in Alaska above the Arctic Circle, offering rugged wilderness camping and hiking.",1980,https://www.alltrails.com/parks/us/alaska/gates-of-the-arctic-national-park
Gateway Arch,"Memorializes westward expansion. Short trails are available, with scenic views of the Mississippi River.",2018,https://www.alltrails.com/parks/us/missouri/gateway-arch-national-park
Glacier,"Alpine scenery with rugged mountains, pristine lakes, and the famous Going-to-the-Sun Road.",1910,https://www.alltrails.com/parks/us/montana/glacier-national-park
Glacier Bay,"Home to tidewater glaciers and fjords, accessible by boat. Ideal for kayaking and scenic camping.",1980,https://www.alltrails.com/parks/us/alaska/glacier-bay-national-park
Grand Canyon,Massive canyon with stunning views and hiking trails like the Bright Angel Trail.,1919,https://www.alltrails.com/parks/us/arizona/grand-canyon-national-park
Grand Teton,"Dramatic mountain scenery with diverse trails, lake views, and excellent backcountry camping.",1929,https://www.alltrails.com/parks/us/wyoming/grand-teton-national-park
Great Basin,"High-desert landscapes, caves, and alpine trails, including the Wheeler Peak summit trail.",1986,https://www.alltrails.com/parks/us/nevada/great-basin-national-park
Great Sand Dunes,"Tallest dunes in North America, with scenic trails and backcountry camping. Ideal for sandboarding and stargazing.",2004,https://www.alltrails.com/parks/us/colorado/great-sand-dunes-national-park
Great Smoky Mountains,"Known for misty, forested landscapes, wildflower trails, and historic buildings. Ideal for camping and diverse hiking.",1934,https://www.alltrails.com/parks/us/tennessee/great-smoky-mountains-national-park
Guadalupe Mountains,"Texas’ highest point, featuring rugged peaks and fossilized reefs. Excellent for remote hiking and camping.",1966,https://www.alltrails.com/parks/us/texas/guadalupe-mountains-national-park
Haleakalā,"Features volcanic landscapes and panoramic sunrise views. Great for stargazing, hiking, and camping.",1916,https://www.alltrails.com/parks/us/hawaii/haleakala-national-park
Hawai‘i Volcanoes,"Active volcanoes, lava fields, and tropical forests. Offers unique hiking and camping experiences.",1961,https://www.alltrails.com/parks/us/hawaii/hawaii-volcanoes-national-park
Hot Springs,"Known for its historic bathhouses and hot springs, with forested trails nearby.",1921,https://www.alltrails.com/parks/us/arkansas/hot-springs-national-park
Indiana Dunes,"Beaches and sand dunes on Lake Michigan, with diverse trails and birdwatching.",2019,https://www.alltrails.com/parks/us/indiana/indiana-dunes-national-park
Isle Royale,"Remote island park on Lake Superior, accessible by ferry. Ideal for backcountry camping and kayaking.",1940,https://www.alltrails.com/parks/us/michigan/isle-royale-national-park
Joshua Tree,"Distinct desert landscapes and iconic Joshua trees, with scenic rock formations for climbing and camping.",1994,https://www.alltrails.com/parks/us/california/joshua-tree-national-park
Katmai,Known for brown bear viewing and volcanic landscapes. Accessible by floatplane.,1980,https://www.alltrails.com/parks/us/alaska/katmai-national-park
Kenai Fjords,"Coastal park with glaciers, fjords, and wildlife. Popular for kayaking and boat tours.",1980,https://www.alltrails.com/parks/us/alaska/kenai-fjords-national-park
Kings Canyon,"Deep valleys, giant sequoias, and high mountain trails. Great for backpacking and camping.",1940,https://www.alltrails.com/parks/us/california/kings-canyon-national-park
Kobuk Valley,"Remote Alaskan wilderness, known for its sand dunes and caribou migrations.",1980,https://www.alltrails.com/parks/us/alaska/kobuk-valley-national-park
Lake Clark,"Features volcanoes, waterfalls, and diverse ecosystems, with excellent fishing and camping options.",1980,https://www.alltrails.com/parks/us/alaska/lake-clark-national-park
Lassen Volcanic,"Geothermal features, including hot springs, mud pots, and volcanic peaks. Great for hiking and camping.",1916,https://www.alltrails.com/parks/us/california/lassen-volcanic-national-park
Mammoth Cave,"The world's longest cave system, with guided tours and scenic trails above ground.",1941,https://www.alltrails.com/parks/us/kentucky/mammoth-cave-national-park
Mesa Verde,Preserves Ancestral Puebloan cliff dwellings. Offers hikes to historic sites and scenic overlooks.,1906,https://www.alltrails.com/parks/us/colorado/mesa-verde-national-park
Mount Rainier,Known for its snow-capped volcano and wildflower meadows. Offers diverse trails and alpine camping.,1899,https://www.alltrails.com/parks/us/washington/mount-rainier-national-park
New River Gorge,"Known for whitewater rafting, scenic trails, and rock climbing on sandstone cliffs.",2020,
North Cascades,"Remote mountain range with pristine alpine scenery, glaciers, and rugged hiking trails.",1968,https://www.alltrails.com/parks/us/washington/north-cascades-national-park
Olympic,"Diverse ecosystems with rainforest, mountains, and coastline. Great for hiking and beach camping.",1938,https://www.alltrails.com/parks/us/washington/olympic-national-park
Petrified Forest,Desert landscape featuring fossilized wood and colorful rock layers. Offers scenic hikes and camping nearby.,1962,https://www.alltrails.com/parks/us/arizona/petrified-forest-national-park
Pinnacles,"Rock formations, talus caves, and scenic trails. Known for rock climbing and backcountry camping.",2013,https://www.alltrails.com/parks/us/california/pinnacles-national-park
Redwood,"Ancient coastal redwoods, lush forests, and scenic ocean views. Great for hiking and camping among towering trees.",1968,https://www.alltrails.com/parks/us/california/redwood-national-park
Rocky Mountain,"Known for its towering peaks, alpine lakes, and the scenic Trail Ridge Road.",1915,https://www.alltrails.com/parks/us/colorado/rocky-mountain-national-park
Saguaro,Home to giant saguaro cacti and desert landscapes. Offers scenic trails and unique desert camping.,1994,https://www.alltrails.com/parks/us/arizona/saguaro-national-park
Sequoia,"Home to giant sequoia trees, deep valleys, and alpine scenery. Great for hiking and scenic camping.",1890,https://www.alltrails.com/parks/us/california/sequoia-national-park
Shenandoah,"Blue Ridge Mountains with scenic vistas and waterfalls, ideal for camping and hiking on the Appalachian Trail.",1935,https://www.alltrails.com/parks/us/virginia/shenandoah-national-park
Theodore Roosevelt,"Named after the conservationist president, with rugged badlands, wildlife, and scenic drives.",1978,https://www.alltrails.com/parks/us/north-dakota/theodore-roosevelt-national-park
Virgin Islands,"Tropical beaches, coral reefs, and clear waters. Excellent for snorkeling, kayaking, and beach camping.",1956,https://www.alltrails.com/parks/us/virgin-islands/virgin-islands-national-park
Voyageurs,"Known for interconnected waterways, ideal for canoeing, kayaking, and island camping.",1975,https://www.alltrails.com/parks/us/minnesota/voyageurs-national-park
White Sands,"Largest gypsum dune field in the world, ideal for dune hiking, sand sledding, and stargazing.",2019,https://www.alltrails.com/parks/us/new-mexico/white-sands-national-park
Wind Cave,Known for its unique boxwork cave formations and scenic hiking trails above ground.,1903,https://www.alltrails.com/parks/us/south-dakota/wind-cave-national-park
Wrangell–St. Elias,"Largest U.S. national park, with glaciers, rugged mountains, and remote wilderness camping.",1980,
Yellowstone,"First national park, known for its geothermal features like Old Faithful and diverse wildlife.",1872,https://www.alltrails.com/parks/us/wyoming/yellowstone-national-park
Yosemite,"Renowned for its granite cliffs, waterfalls, and giant sequoias. Popular for climbing, hiking, and camping.",1890,https://www.alltrails.com/parks/us/california/yosemite-national-park
Zion,"Steep canyon walls, diverse hiking trails, and the famous Narrows slot canyon hike. Ideal for camping and exploration.",1919,https://www.alltrails.com/parks/us/utah/zion-national-park
